Time,II,PLETH
00:38:50.1,-71.58,-104
00:38:50.2,-64.94,-104
00:38:50.2,-55.19,-104
00:38:50.2,-43.52,-104
00:38:50.2,-30.4,-102
00:38:50.2,-24.18,-101
00:38:50.2,-16.21,-103
00:38:50.3,-5.15,-104
00:38:50.3,1.85,-105
00:38:50.3,5.35,-106
00:38:50.3,6.62,-105
00:38:50.3,7.14,-104
00:38:50.4,6.2,-102
00:38:50.4,8.69,-101
00:38:50.4,15.05,-102
00:38:50.4,24.45,-100
00:38:50.5,35.97,-99
00:38:50.5,127.47,-99
00:38:50.5,246.8,-100
00:38:50.5,141.22,-100
00:38:50.5,-42.96,-100
00:38:50.5,-78.18,-99
00:38:50.6,-61.69,-98
00:38:50.6,-42.7,-98
00:38:50.6,-27.01,-97
00:38:50.6,-20.04,-96
00:38:50.7,-23.51,-98
00:38:50.7,-25.19,-101
00:38:50.7,-25.12,-108
00:38:50.7,-24.51,-115
00:38:50.7,-22.32,-122
00:38:50.7,-12.21,-127
00:38:50.8,6.77,-131
00:38:50.8,18.32,-134
00:38:50.8,16.16,-136
00:38:50.9,24.91,-138
00:38:50.9,41,-142
00:38:50.9,41.68,-139
00:38:50.9,39.24,-137
00:38:50.9,38.74,-134
00:38:50.9,34.46,-129
00:38:50.9,6.62,-128
00:38:51,-78.48,-127
00:38:51,-162.9,-126
00:38:51,-200.03,-124
00:38:51,-58.63,-123
00:38:51,158.49,-121
00:38:51.1,160.89,-119
00:38:51.1,171.85,-118
00:38:51.1,166.35,-117
00:38:51.1,154.29,-115
00:38:51.2,147.11,-114
00:38:51.2,137.85,-114
00:38:51.2,134.94,-114
00:38:51.2,132.14,-115
00:38:51.3,116.21,-113
00:38:51.3,71.24,-110
00:38:51.3,19.09,-109
00:38:51.3,-22.18,-110
00:38:51.3,-62.01,-109
00:38:51.3,-96.78,-109
00:38:51.3,-126.17,-110
00:38:51.4,-133.93,-107
00:38:51.4,-132.14,-107
00:38:51.4,-120.61,-107
00:38:51.4,-91.35,-108
00:38:51.5,-59.11,-107
00:38:51.5,-51.02,-105
00:38:51.5,-50.39,-103
00:38:51.5,-49.02,-103
